Train: Epoch [1/2000], Step [30/158]| g_loss: 19.225| d_loss: 1.999| gp_loss: 0.000| r_loss: 7.776| p_loss: 22.140| v_loss: 0.079| per_loss: 2.989 | a_loss: 0.000
Train: Epoch [1/2000], Step [60/158]| g_loss: 12.350| d_loss: 1.990| gp_loss: 0.000| r_loss: 6.289| p_loss: 11.412| v_loss: 0.076| per_loss: 2.791 | a_loss: 0.000
Train: Epoch [1/2000], Step [90/158]| g_loss: 9.697| d_loss: 1.942| gp_loss: 0.000| r_loss: 4.934| p_loss: 8.853| v_loss: 0.076| per_loss: 2.604 | a_loss: 0.000
Train: Epoch [1/2000], Step [120/158]| g_loss: 8.378| d_loss: 1.703| gp_loss: 0.000| r_loss: 4.033| p_loss: 8.021| v_loss: 0.079| per_loss: 2.537 | a_loss: 0.001
Train: Epoch [1/2000], Step [150/158]| g_loss: 7.357| d_loss: 0.945| gp_loss: 0.000| r_loss: 3.396| p_loss: 7.164| v_loss: 0.075| per_loss: 2.517 | a_loss: 0.052
Train: Epoch [2/2000], Step [30/158]| g_loss: 7.244| d_loss: 0.461| gp_loss: 0.007| r_loss: 2.943| p_loss: 7.133| v_loss: 0.083| per_loss: 2.568 | a_loss: 0.394
Train: Epoch [2/2000], Step [60/158]| g_loss: 6.462| d_loss: 1.183| gp_loss: 0.011| r_loss: 2.537| p_loss: 6.871| v_loss: 0.079| per_loss: 2.634 | a_loss: 0.147
Train: Epoch [2/2000], Step [90/158]| g_loss: 5.940| d_loss: 1.247| gp_loss: 0.013| r_loss: 2.192| p_loss: 6.483| v_loss: 0.082| per_loss: 2.640 | a_loss: 0.161
Train: Epoch [2/2000], Step [120/158]| g_loss: 5.287| d_loss: 1.385| gp_loss: 0.014| r_loss: 1.898| p_loss: 5.871| v_loss: 0.076| per_loss: 2.545 | a_loss: 0.123
Train: Epoch [2/2000], Step [150/158]| g_loss: 4.788| d_loss: 1.376| gp_loss: 0.014| r_loss: 1.701| p_loss: 5.268| v_loss: 0.082| per_loss: 2.518 | a_loss: 0.118
Train: Epoch [3/2000], Step [30/158]| g_loss: 4.271| d_loss: 1.417| gp_loss: 0.027| r_loss: 1.538| p_loss: 4.578| v_loss: 0.078| per_loss: 2.465 | a_loss: 0.121
Train: Epoch [3/2000], Step [60/158]| g_loss: 3.801| d_loss: 1.428| gp_loss: 0.008| r_loss: 1.435| p_loss: 3.848| v_loss: 0.081| per_loss: 2.432 | a_loss: 0.118
Train: Epoch [3/2000], Step [90/158]| g_loss: 3.422| d_loss: 1.351| gp_loss: 0.007| r_loss: 1.358| p_loss: 3.292| v_loss: 0.075| per_loss: 2.367 | a_loss: 0.107
Train: Epoch [3/2000], Step [120/158]| g_loss: 3.384| d_loss: 1.251| gp_loss: 0.006| r_loss: 1.315| p_loss: 3.228| v_loss: 0.085| per_loss: 2.385 | a_loss: 0.132
Train: Epoch [3/2000], Step [150/158]| g_loss: 3.344| d_loss: 1.220| gp_loss: 0.005| r_loss: 1.281| p_loss: 3.131| v_loss: 0.083| per_loss: 2.370 | a_loss: 0.178
Train: Epoch [4/2000], Step [30/158]| g_loss: 3.423| d_loss: 1.071| gp_loss: 0.008| r_loss: 1.265| p_loss: 3.058| v_loss: 0.080| per_loss: 2.302 | a_loss: 0.318
Train: Epoch [4/2000], Step [60/158]| g_loss: 3.510| d_loss: 1.045| gp_loss: 0.002| r_loss: 1.255| p_loss: 3.055| v_loss: 0.079| per_loss: 2.342 | a_loss: 0.414
Train: Epoch [4/2000], Step [90/158]| g_loss: 3.497| d_loss: 1.154| gp_loss: 0.001| r_loss: 1.231| p_loss: 2.958| v_loss: 0.086| per_loss: 2.310 | a_loss: 0.469
Train: Epoch [4/2000], Step [120/158]| g_loss: 3.368| d_loss: 0.912| gp_loss: 0.001| r_loss: 1.199| p_loss: 2.797| v_loss: 0.088| per_loss: 2.314 | a_loss: 0.450
Train: Epoch [4/2000], Step [150/158]| g_loss: 3.333| d_loss: 0.969| gp_loss: 0.001| r_loss: 1.163| p_loss: 2.790| v_loss: 0.083| per_loss: 2.295 | a_loss: 0.462
Train: Epoch [5/2000], Step [30/158]| g_loss: 3.270| d_loss: 0.799| gp_loss: 0.003| r_loss: 1.125| p_loss: 2.677| v_loss: 0.081| per_loss: 2.277 | a_loss: 0.497
Train: Epoch [5/2000], Step [60/158]| g_loss: 3.322| d_loss: 0.877| gp_loss: 0.001| r_loss: 1.112| p_loss: 2.842| v_loss: 0.081| per_loss: 2.324 | a_loss: 0.475
Train: Epoch [5/2000], Step [90/158]| g_loss: 3.394| d_loss: 0.819| gp_loss: 0.001| r_loss: 1.089| p_loss: 2.953| v_loss: 0.082| per_loss: 2.284 | a_loss: 0.517
Train: Epoch [5/2000], Step [120/158]| g_loss: 3.337| d_loss: 0.874| gp_loss: 0.001| r_loss: 1.078| p_loss: 2.766| v_loss: 0.083| per_loss: 2.296 | a_loss: 0.564
Train: Epoch [5/2000], Step [150/158]| g_loss: 3.107| d_loss: 0.941| gp_loss: 0.001| r_loss: 1.062| p_loss: 2.571| v_loss: 0.085| per_loss: 2.308 | a_loss: 0.444
Train: Epoch [6/2000], Step [30/158]| g_loss: 3.164| d_loss: 0.883| gp_loss: 0.003| r_loss: 1.055| p_loss: 2.609| v_loss: 0.075| per_loss: 2.296 | a_loss: 0.499
Train: Epoch [6/2000], Step [60/158]| g_loss: 3.139| d_loss: 0.750| gp_loss: 0.002| r_loss: 1.031| p_loss: 2.425| v_loss: 0.082| per_loss: 2.261 | a_loss: 0.589
Train: Epoch [6/2000], Step [90/158]| g_loss: 3.038| d_loss: 0.935| gp_loss: 0.002| r_loss: 1.058| p_loss: 2.371| v_loss: 0.078| per_loss: 2.240 | a_loss: 0.492
Train: Epoch [6/2000], Step [120/158]| g_loss: 3.045| d_loss: 0.924| gp_loss: 0.001| r_loss: 1.052| p_loss: 2.412| v_loss: 0.086| per_loss: 2.254 | a_loss: 0.475
